id,facility,prefecture,highway_name
1,八雲PA,1,1
2,静狩PA,1,1
3,豊浦噴火湾PA,1,1
4,有珠山SA,1,1
5,本輪西展望所,1,1
6,富浦PA,1,1
7,萩野PA,1,1
8,樽前SA,1,1
9,美沢PA,1,1
10,輪厚PA,1,1
11,野幌PA,1,1
12,岩見沢SA,1,1
13,茶志内PA,1,1
14,砂川SA,1,1
15,音江PA,1,1
16,比布大雪PA,1,1
17,金山PA,1,2
18,キウスPA,1,3
19,由仁PA,1,3
20,占冠PA,1,3
21,十勝平原SA,1,3
22,長流枝PA,1,3
23,上浦幌PA,1,3
24,秩父別PA,1,77
25,白滝PA,1,78
26,阿闍羅PA,2,4
27,津軽SA,2,4
28,高舘PA,2,4
29,福地PA,2,5
30,中尊寺PA,3,4
31,前沢SA,3,4
32,北上金ヶ崎PA,3,4
33,花巻PA,3,4
34,紫波SA,3,4
35,矢巾PA,3,4
36,滝沢PA,3,4
37,岩手山SA,3,4
38,前森山PA,3,4
39,畑PA,3,4
40,田山PA,3,4
41,二戸PA,3,5
42,折爪SA,3,5
43,錦秋湖SA,3,6
44,船河原PA,3,79
45,浪板PA,3,79
46,津軽石PA,3,79
47,蔵王PA,4,4
48,菅生PA,4,4
49,泉PA,4,4
50,鶴巣PA,4,4
51,三本木PA,4,4
52,長者原SA,4,4
53,志波姫PA,4,4
54,金成PA,4,4
55,古関PA,4,7
56,鳥の海PA,4,16
57,春日PA,4,79
58,矢本PA,4,79
59,本吉PA,4,79
60,湯瀬PA,5,4
61,花輪SA,5,4
62,小坂PA,5,4
63,山内PA,5,6
64,大森PA,5,6
65,西仙北SA,5,6
66,太平山PA,5,6
67,八郎湖SA,5,6
68,釈迦内PA,5,6
69,西目PA,5,9
70,山形蔵王PA,6,7
71,寒河江SA,6,7
72,月山湖PA,6,7
73,櫛引PA,6,7
74,南陽PA,6,10
75,山形PA,6,10
76,阿武隈PA,7,4
77,鏡石PA,7,4
78,安積PA,7,4
79,安達太良SA,7,4
80,福島松川PA,7,4
81,吾妻PA,7,4
82,国見SA,7,4
83,差塩PA,7,8
84,阿武隈高原SA,7,8
85,三春PA,7,8
86,五百川PA,7,8
87,磐梯山SA,7,8
88,新鶴PA,7,8
89,西会津PA,7,8
90,湯ノ岳PA,7,16
91,四倉PA,7,16
92,ならはPA,7,16
93,南相馬鹿島SA,7,16
94,守谷SA,8,16
95,谷田部東PA,8,16
96,千代田PA,8,16
97,美野里PA,8,16
98,友部SA,8,16
99,田野PA,8,16
100,東海PA,8,16
101,日立中央PA,8,16
102,中郷SA,8,16
103,関本PA,8,16
104,笠間PA,8,19
